ID,Class
6049752,neutral
1544221,positive
232456,positive
5428433,negative
3090599,negative
806524,negative
4320952,positive
4266966,positive
1999887,positive
2230181,positive
3260385,negative
4224657,positive
2484130,positive
1094695,positive
2529621,negative
3836566,positive
3150220,positive
4847667,negative
1499593,positive
6468700,positive
4610921,positive
1430649,positive
3104366,negative
2777818,neutral
1110522,negative
2936926,negative
3919584,negative
3149364,positive
4205687,neutral
2671571,negative
6664584,positive
5352684,positive
1819561,positive
611115,negative
1144951,positive
5463555,positive
1445237,positive
349195,positive
883231,positive
2940614,negative
3595562,positive
1572550,positive
4972030,positive
325953,positive
4973394,positive
351778,positive
1130191,neutral
5156889,positive
5088417,positive
1869228,positive
4406326,negative
546913,positive
6046228,positive
6526154,positive
811920,positive
245628,positive
4724258,positive
3971155,negative
3893384,neutral
2318355,positive
4230516,positive
5894494,negative
781572,negative
498167,negative
1605573,positive
3302491,positive
2280483,positive
2277027,positive
5135056,negative
5221928,neutral
5933334,positive
3886853,positive
2720086,positive
2896191,positive
6009063,positive
891254,negative
6601635,negative
6105774,positive
4840080,positive
586384,positive
3758666,positive
4414577,negative
6038069,positive
6239539,negative
3175718,positive
2482705,positive
3505501,positive
5551213,positive
6490721,negative
6346814,negative
1043865,positive
3867708,negative
6170676,negative
825618,neutral
4335714,positive
6478774,negative
707592,positive
945321,positive
5072904,neutral
3407583,positive
2277994,negative
3426676,positive
1277655,positive
3527272,positive
419553,negative
2699882,negative
6326033,positive
6176619,negative
5124508,negative
5003522,neutral
5692837,positive
353412,positive
1048549,positive
326498,positive
5111128,negative
2011315,positive
637943,negative
2227950,negative
3129032,positive
3504497,positive
4637412,negative
111373,positive
3705654,positive
4137012,positive
4467700,positive
3023526,positive
3170394,positive
2130610,positive
3703023,positive
2456044,positive
104009,negative
184928,positive
3745133,positive
2241007,positive
2310710,neutral
5186780,positive
1823666,positive
4387975,positive
4837634,positive
454753,positive
1912932,positive
700375,negative
1009851,positive
2375488,positive
2863034,positive
5745822,positive
1337753,positive
3695946,positive
3190157,positive
21579,negative
5818807,positive
3284961,positive
3861583,positive
6036206,negative
4813502,positive
2723451,negative
1792252,negative
6243644,negative
518247,positive
2102738,positive
1910488,positive
5991675,positive
2172277,positive
2076750,negative
269598,positive
1705810,negative
1224406,negative
4857455,positive
21707,negative
3284691,neutral
3057520,positive
5355514,negative
5278128,positive
3091620,negative
4564499,negative
5890463,positive
315755,negative
4499512,positive
5246699,positive
177179,positive
3700546,positive
6350641,positive
4522534,positive
1248987,neutral
1221182,positive
4377626,positive
70778,positive
3151820,positive
4582279,positive
1420324,positive
1006008,positive
667354,positive
5227606,negative
5036113,negative
5622527,positive
4599306,positive
4577842,positive
4223355,negative
5031878,positive
6016529,positive
4820046,positive
2819684,neutral
4235046,neutral
6187331,negative
658623,positive
966127,positive
554575,positive
266220,positive
6655217,positive
6144105,positive
172223,neutral
5490072,positive
389638,positive
3978269,positive
2300182,negative
873121,negative
3934040,negative
1921642,positive
1197638,neutral
3821132,positive
5202923,positive
4424718,neutral
5315041,positive
4487883,negative
5330284,positive
4226989,negative
3602139,positive
3116095,neutral
3196299,positive
3859369,negative
2820262,negative
34519,negative
370607,neutral
3970823,positive
361974,neutral
1972092,negative
1039183,positive
2503429,negative
5943078,negative
4955251,negative
2713785,negative
5595779,positive
2094673,negative
2538800,positive
2579716,negative
3360994,positive
6369061,positive
4358168,negative
6386551,neutral
3063217,positive
264811,positive
2124646,positive
5905727,negative
4416001,negative
4727609,positive
4773783,negative
1871021,positive
3550491,positive
3722031,positive
5404857,negative
2379403,positive
2522943,positive
1945322,negative
2837976,positive
3306656,positive
5528187,positive
5990756,neutral
3705300,positive
4944085,negative
6609241,positive
1269937,neutral
3377205,positive
1207090,neutral
5324330,positive
5750611,positive
2791087,negative
2478738,positive
2429872,positive
5166743,positive
5460138,positive
5152649,positive
749075,positive
4463483,negative
4414396,neutral
5853519,positive
756421,positive
5744485,positive
3600672,negative
993650,positive
5413915,positive
168773,positive
2434912,positive
6034519,positive
4021258,positive
4192638,positive
1476823,positive
5335310,positive
2694321,neutral
5650472,positive
2187906,positive
4617064,positive
6156247,positive
718983,negative
2328387,positive
2847392,negative
938047,positive
281960,positive
6577273,neutral
284370,positive
477452,positive
4773100,negative
4968016,negative
1523348,positive
1591404,positive
8481,neutral
5957237,negative
1127798,positive
4368820,positive
3748710,positive
4222561,negative
6424732,positive
741671,positive
5977743,positive
3934823,negative
5882554,neutral
1425597,positive
5906381,positive
753274,positive
6591747,positive
2824106,positive
1818817,positive
183482,negative
3084985,positive
1770382,negative
1535934,positive
5226642,positive
3649887,positive
3908350,negative
5765391,negative
2649234,positive
150597,positive
5215312,positive
162846,positive
1832985,positive
6398800,negative
4564709,positive
429372,negative
2106527,positive
1784997,negative
2085248,positive
5137303,positive
6246151,negative
3475794,positive
1635428,positive
5010030,neutral
1469722,positive
4150756,positive
6267478,negative
5322851,positive
3767152,positive
4540414,positive
3449745,positive
2744653,positive
5977629,negative
749861,negative
1599424,positive
4436012,positive
1155689,positive
4030867,positive
6566232,positive
6363973,positive
5539803,negative
53379,positive
1616903,neutral
1193575,positive
1550886,positive
3187537,neutral
433272,positive
557705,positive
2980128,neutral
5454379,positive
2088548,neutral
4498737,positive
2460124,positive
1310777,neutral
3964099,positive
3198466,positive
4200947,positive
5736490,negative
2854090,positive
4039337,positive
5516218,positive
1598524,positive
462175,positive
1561688,positive
5209685,positive
5762982,neutral
6615730,neutral
5155407,neutral
4714725,positive
3842176,positive
5664292,negative
1726766,negative
5721409,positive
1856399,negative
4718782,positive
4918905,neutral
5138780,positive
5497899,positive
637490,positive
2954805,negative
6364473,positive
1330798,positive
1484917,positive
175246,negative
6192073,positive
6043495,negative
5749496,positive
3068649,neutral
1950003,positive
5266445,positive
3385856,positive
4008354,positive
1735910,positive
489384,positive
5134664,positive
2609664,positive
5697845,positive
6565620,positive
328641,positive
5235488,neutral
1596908,positive
2791656,neutral
3351700,positive
136186,positive
3853541,positive
65074,positive
2043689,positive
532088,positive
5821399,positive
6178212,positive
1323964,positive
2325874,positive
3144496,negative
2561067,negative
3622123,neutral
4906670,negative
2988866,positive
5643472,positive
6412776,positive
5484445,positive
3115567,positive
1914181,positive
756509,positive
5189168,positive
5149415,positive
1647103,positive
169080,positive
4120232,negative
221944,positive
1750417,neutral
3753859,negative
3722382,positive
4152326,negative
533279,positive
2052286,positive
4780603,positive
4601856,positive
1509784,positive
2299591,negative
469428,negative
3225448,positive
1024157,positive
6390314,positive
6595157,neutral
2659223,neutral
4622705,positive
673171,positive
1451909,positive
1571596,positive
82764,positive
2882855,positive
1756128,positive
3952138,negative
811200,positive
4065241,positive
2211741,positive
2274572,negative
1206104,neutral
1423379,positive
1238660,positive
1671571,negative
800525,negative
5536049,positive
1909958,positive
225405,negative
2089993,positive
2392536,positive
1792756,positive
1377808,positive
5594028,positive
3475569,positive
4200171,positive
3470283,positive
579252,negative
4211455,negative
5578857,positive
6194804,negative
2624549,positive
3840416,negative
3344352,positive
2026861,positive
5193199,positive
1205705,positive
4436751,negative
4154561,negative
1631071,positive
6291322,neutral
4110320,negative
892789,negative
1499426,positive
6398886,positive
5699150,neutral
6303794,positive
2159061,positive
5171025,positive
2839441,negative
1991093,positive
314111,positive
3436498,negative
595675,positive
5482980,negative
941349,positive
4659096,positive
3501504,positive
458976,positive
4431240,negative
601068,positive
6267256,positive
4343501,negative
891086,negative
3165233,positive
175143,negative
3400498,negative
6642300,positive
4499399,positive
2388954,positive
2848845,positive
3554103,positive
5958131,positive
4734602,positive
4846525,positive
4243785,positive
6151044,neutral
5935590,positive
5628952,positive
4233776,positive
4658784,negative
5941087,negative
2061388,positive
1005177,positive
1000500,negative
2074351,positive
2329433,positive
5065480,negative
656325,negative
6197687,negative
2837342,positive
4548526,neutral
4049969,negative
6321973,positive
2113181,positive
4857530,neutral
5416650,positive
3803605,negative
2874062,negative
1596999,positive
269203,positive
2261376,positive
3135994,negative
3970181,positive
5581398,neutral
1120814,positive
1470168,positive
1011315,positive
6523434,positive
4467671,positive
4279798,negative
3036944,negative
2038905,positive
3074185,negative
2004679,negative
6183092,positive
4897944,positive
905705,negative
358783,positive
1108451,positive
1080750,positive
240548,positive
5972945,positive
1633957,positive
4746421,positive
4418399,negative
690579,neutral
5881418,negative
4667654,negative
3425373,positive
5556276,neutral
102455,positive
6254317,negative
426541,positive
4395642,negative
1754349,positive
3254546,negative
6144794,neutral
2302046,positive
829569,negative
1178978,positive
4059221,positive
5554055,positive
3779756,positive
675228,neutral
1064497,positive
3728406,positive
1955939,negative
419716,negative
4944638,negative
1710575,negative
3562415,neutral
6260478,positive
993247,positive
2114237,neutral
98005,positive
2170804,positive
1438032,positive
4714956,neutral
1993032,negative
6386517,positive
4412535,positive
2966640,positive
5645088,positive
4433944,positive
6309361,positive
3112479,positive
6461191,positive
1619365,positive
108090,positive
1096646,positive
4850240,neutral
4055979,positive
957365,positive
3122081,positive
1144579,positive
5687828,positive
5901230,negative
4094608,positive
5561595,positive
5791131,negative
735851,positive
1295082,negative
4160138,positive
2186111,negative
4454280,negative
3744372,positive
5352979,negative
434486,positive
4010447,positive
3762179,positive
5004805,positive
6008808,positive
500947,positive
235381,positive
5692267,positive
5496513,positive
5960616,positive
697525,negative
5840442,positive
2127592,positive
1420415,positive
1090496,positive
3629374,positive
4980700,neutral
4106741,negative
6472572,negative
1094377,positive
6592799,positive
4285625,positive
5162562,positive
2318308,neutral
174001,neutral
219155,negative
6186693,positive
3169752,neutral
1259826,positive
1698266,positive
994693,positive
4429087,negative
6211234,negative
1590341,positive
4593105,positive
397840,positive
4409136,neutral
673618,positive
4074434,positive
540323,positive
3232223,positive
864645,positive
5445577,positive
45835,positive
1176273,positive
2048778,negative
1687927,positive
884446,positive
3699667,positive
1953642,negative
4440388,positive
184005,positive
2401804,positive
6575115,positive
705994,positive
767830,positive
984938,negative
648832,negative
2053240,negative
1752353,negative
3523730,positive
703095,positive
1177039,positive
1098063,positive
951617,negative
2377947,positive
410013,positive
1300825,positive
2365217,negative
5679777,positive
1137538,positive
4673311,neutral
6593833,positive
4864662,positive
2360077,positive
5424810,positive
3796125,positive
3577512,negative
386975,negative
158113,positive
605400,positive
1496065,positive
1895775,negative
4925790,positive
500279,positive
3391622,positive
5802681,positive
4397242,negative
5856492,negative
1687780,positive
5326638,positive
1935927,positive
5711900,positive
4230928,positive
4677788,positive
6133465,neutral
4694863,negative
6068554,positive
3340071,negative
4007313,positive
6623974,neutral
6529212,negative
3449914,positive
4638365,negative
74591,positive
4528344,positive
3524972,positive
3958068,positive
6412902,negative
4805945,positive
689182,positive
4209113,positive
6562081,positive
5211426,positive
2238271,positive
1556365,positive
3610021,positive
681449,negative
3281003,negative
3006071,negative
86937,positive
4768101,neutral
5469056,positive
921974,negative
4728618,positive
3469346,positive
5234854,positive
672425,neutral
4329274,positive
6411931,positive
2049059,neutral
1626478,positive
3314750,positive
4782623,positive
4052524,positive
3268275,neutral
2991639,negative
4330913,negative
6039297,positive
132045,positive
3711387,positive
1428920,positive
3887505,positive
1486730,positive
3846537,negative
3036348,negative
1889989,neutral
6056712,positive
4064527,positive
4085247,negative
5416839,positive
2284514,positive
1417954,positive
4644648,positive
4754494,positive
5759619,negative
2564868,positive
801334,positive
2514918,negative
3529508,positive
2349643,positive
5180134,negative
3775962,positive
730615,neutral
3235635,neutral
5931744,positive
1017529,positive
4739558,positive
4447393,neutral
2280435,negative
2541352,positive
4767436,positive
4209176,positive
2486171,positive
6066178,positive
4000487,positive
975930,positive
2373661,positive
239881,positive
3486914,positive
6030132,positive
3155881,positive
289838,positive
2299182,positive
273714,positive
3033824,positive
108522,positive
2470823,positive
1876533,positive
999881,positive
6220607,neutral
5845239,positive
4873405,neutral
5497476,negative
5892788,negative
5143495,negative
70145,positive
3987374,positive
6285154,positive
5585956,negative
3468469,positive
1977987,positive
1518673,positive
3641051,neutral
2028569,positive
499124,positive
533576,negative
3668458,neutral
5540195,negative
2645328,neutral
2435249,negative
5406573,negative
166645,negative
2025065,positive
5519901,negative
473260,neutral
6455151,positive
5410085,negative
1618780,positive
5629582,negative
1597939,positive
3948402,neutral
303082,positive
189938,positive
1701585,positive
5512392,positive
6186946,positive
6495817,positive
53838,positive
1796046,positive
5696518,negative
6250593,negative
501402,positive
4109457,positive
5716391,positive
1878032,positive
3494322,negative
5259893,positive
4340360,negative
1836807,positive
4989121,neutral
1938959,neutral
104178,positive
4788151,positive
393539,positive
7965,positive
2922272,positive
3861833,positive
3845198,negative
6619610,positive
2740516,positive
6184915,positive
6332323,negative
5433775,negative
2350501,neutral
2254181,positive
1940878,neutral
2331815,negative
6008277,positive
4942029,negative
1296954,negative
402995,positive
578412,negative
1048778,positive
149015,positive
2257650,positive
3013991,positive
1870456,positive
3449163,positive
5606889,positive
6382386,negative
1427472,negative
1394595,positive
3424239,neutral
5886508,positive
1049881,positive
4038493,negative
1584504,positive
1672638,positive
836656,positive
2550208,positive
5661202,positive
893397,negative
1749342,positive
5269341,positive
4200037,positive
4739337,neutral
2391452,positive
5012678,positive
3417705,positive
1634160,positive
5537446,negative
4792819,positive
6649943,neutral
690780,positive
686157,negative
4746482,positive
6243763,positive
5858509,positive
341784,positive
3978790,positive
3876790,positive
4424832,positive
4610905,positive
2192417,positive
515458,positive
6359991,neutral
1865943,negative
1022781,positive
1046668,positive
6061660,positive
3659342,positive
1467484,positive
835348,neutral
5595458,negative
2398578,positive
5097406,positive
6240602,negative
365281,negative
3651799,positive
1746398,positive
2587249,positive
1196373,neutral
1233506,positive
6169861,positive
1083939,positive
330433,positive
2355800,positive
601322,positive
4780008,positive
5406905,negative
4686662,positive
4103729,positive
6170278,negative
1143171,positive
886677,positive
4893543,positive
1868322,negative
130301,positive
2314678,positive
970222,positive
6184667,positive
6274343,negative
1614001,positive
1704814,neutral
3022405,positive
4990485,positive
1233468,positive
6525835,positive
3276897,positive
3853121,neutral
2815863,positive
6055720,positive
3796731,positive
2273725,negative
19752,positive
1392558,positive
3048368,positive
1327724,positive
6020734,positive
1243595,positive
2117989,positive
2494576,negative
1141322,negative
3904275,positive
2980773,positive
2960167,negative
4448393,neutral
2542377,positive
4784571,positive
4500675,positive
2224901,neutral
432218,positive
1314372,positive
5435601,positive
5039926,positive
3122036,negative
4232089,neutral
928063,negative
1172423,negative
1330250,positive
6434450,negative
849375,positive
5314595,positive
6595939,neutral
1160608,positive
5178746,positive
6550059,positive
6110174,positive
3627506,positive
4109827,positive
4101306,negative
1460639,negative
1813966,positive
1614207,positive
4294162,negative
319836,positive
1639090,positive
6299658,negative
3256834,positive
2693559,neutral
3356472,positive
2691611,positive
2138702,positive
2124891,positive
3518894,positive
669626,negative
697898,negative
1142762,neutral
2227861,positive
1503821,positive
1391190,negative
877502,negative
2092075,negative
1135755,positive
5400545,positive
3692062,positive
609826,positive
4674519,positive
305205,positive
3798446,positive
2638815,positive
1611494,positive
4641445,negative
474225,positive
740670,neutral
4141651,positive
4333909,positive
986999,positive
18381,negative
3947819,neutral
372821,negative
5786638,positive
2221558,positive
6592476,positive
850404,positive
5006216,neutral
3794327,positive
1025805,positive
4115098,neutral
3166551,positive
2777151,negative
3620382,positive
1264728,negative
3671730,positive
1108759,positive
6157075,neutral
4515375,positive
4506337,negative
2712562,positive
931698,positive
3740060,positive
3148867,positive
5125700,positive
2589831,positive
3647425,positive
1088143,positive
1650898,positive
4897101,negative
5805379,neutral
4423799,negative
6061362,positive
598060,negative
1792041,negative
197086,negative
5493253,negative
6084916,negative
2078170,neutral
5522225,negative
5610520,negative
4892992,positive
4241777,positive
1665399,positive
2814826,positive
2372662,positive
494093,positive
5849111,positive
5293585,positive
3120577,positive
1804648,positive
3822484,neutral
5881876,positive
5857190,positive
43024,negative
4932832,neutral
4354689,positive
5840858,positive
5164018,neutral
4206309,neutral
1957863,positive
5501706,positive
5330390,negative
574521,positive
5942433,positive
4647688,neutral
2205889,positive
3744857,positive
5734142,positive
5056494,positive
1992463,positive
6167131,positive
5569467,negative
3619433,positive
3305288,positive
2700112,positive
3491347,negative
3108771,negative
144199,negative
735673,neutral
676244,positive
2729219,positive
1527752,positive
1981884,negative
6524296,positive
835116,neutral
5676106,negative
2151819,neutral
5268263,neutral
2607476,neutral
2597260,positive
3576234,positive
5409070,positive
604784,neutral
450479,negative
1631783,positive
951424,positive
5069016,positive
386398,negative
1807314,neutral
6185291,neutral
3776483,positive
572195,negative
4541017,neutral
1295244,positive
1954212,positive
5457683,neutral
3226173,positive
5830591,positive
929047,positive
3104858,negative
372486,negative
3020088,neutral
6374665,negative
960470,positive
2423544,positive
6525757,positive
2762300,positive
4264605,positive
4407315,positive
1932691,negative
1453705,positive
4195488,positive
6602083,positive
5129979,positive
2958197,positive
1516580,positive
2407585,positive
2706514,positive
3426014,positive
6529439,positive
2566608,positive
3530559,positive
4814692,positive
4479815,positive
842227,neutral
2208733,positive
4587428,negative
4913193,positive
6207602,negative
876336,neutral
4839755,neutral
3627473,positive
2630023,neutral
4361632,negative
508846,positive
552557,positive
5190981,positive
6069917,positive
5230637,neutral
5572991,positive
4877412,negative
5334181,positive
5980077,positive
5896290,positive
2964266,positive
679493,positive
4440826,negative
670493,positive
6183877,positive
5537175,negative
3889852,positive
3071580,positive
4917380,positive
3216184,negative
5469072,positive
5351992,positive
4094020,negative
426642,positive
1577157,positive
2512425,neutral
6412343,positive
2117742,positive
6580601,positive
4262824,neutral
5381725,positive
2057466,positive
1090832,positive
360088,positive
2319404,negative
5027031,neutral
6217873,positive
4870208,neutral
4673276,negative
3509648,positive
3545944,positive
3670507,positive
6049166,positive
4145815,positive
5863012,negative
6618579,positive
4968983,negative
3465819,neutral
6125907,negative
6606249,positive
5196064,positive
931985,negative
6278925,positive
4368064,positive
112929,positive
2042757,positive
4221440,negative
4309840,positive
4334320,neutral
2878555,positive
535722,positive
3092346,negative
6610515,positive
4432362,negative
6077664,positive
1651418,positive
3566686,positive
2114042,positive
450536,neutral
3106007,neutral
5793537,positive
1824371,positive
3666442,positive
219705,positive
439415,negative
5191429,positive
3927115,negative
3960846,neutral
1864380,positive
5959135,negative
5388677,positive
4854867,positive
5562575,positive
25403,positive
2003916,negative
5043775,positive
300055,positive
6641575,negative
2360194,positive
1694486,positive
6555131,negative
5125325,positive
1792032,neutral
940386,positive
1201198,positive
5973931,negative
3892961,positive
1670172,neutral
5956006,positive
4231264,positive
2408916,positive
3033397,negative
2935982,positive
4745485,positive
1828198,negative
3978051,positive
2962652,negative
906000,negative
2375195,positive
1670284,neutral
5781576,positive
5973942,neutral
2010252,negative
2119325,positive
3223154,positive
5612675,negative
2118181,negative
945910,positive
996927,positive
2050967,positive
726538,negative
4335738,negative
3432848,positive
1175640,neutral
4228324,positive
5550385,negative
5749381,positive
5979554,positive
4596988,negative
39233,negative
1821730,positive
1607064,positive
6189116,negative
4304713,positive
2956562,positive
4735723,positive
5910309,neutral
638341,positive
4905476,positive
3193657,positive
1447629,positive
3223023,neutral
5359061,positive
1880989,positive
727562,positive
1210181,neutral
3009020,positive
2502769,negative
846884,negative
525816,positive
2152350,positive
1982893,positive
4898315,positive
2226211,positive
5720726,positive
2634974,positive
2569154,positive
4222991,negative
883276,positive
1091984,positive
3576806,neutral
570773,negative
3956386,positive
1135430,positive
2633879,positive
6003199,positive
3843543,negative
6448727,negative
2736981,positive
5948355,positive
919662,negative
573081,positive
840410,positive
4943600,neutral
1411098,positive
805763,negative
1111635,positive
6407124,positive
1143100,negative
1040434,positive
50347,positive
1975129,positive
3920120,negative
3135957,positive
5691826,negative
6164838,negative
3003274,neutral
3870902,positive
6367906,positive
6548776,neutral
2461458,positive
4091872,positive
4464223,positive
872515,positive
2540806,positive
5383157,negative
3311069,positive
5393750,positive
3515060,positive
3347127,neutral
2196895,positive
3134768,positive
3749982,neutral
6457879,positive
5909544,positive
434498,positive
6625366,positive
141945,positive
6464630,positive
354403,neutral
1813047,negative
5490628,positive
855144,positive
4937134,positive
6364615,positive
3934727,neutral
1429839,positive
3928207,negative
6644905,negative
3530177,positive
5889033,positive
485666,positive
3017560,positive
5032637,negative
187404,positive
5251878,positive
2518022,negative
4469311,positive
204019,positive
4465829,positive
328757,positive
5279976,positive
5741954,positive
3201569,negative
5158241,positive
729021,positive
4278980,positive
6585302,positive
5781865,positive
3965747,positive
5110233,negative
3790306,positive
1623881,negative
1975381,positive
4450637,positive
356300,neutral
5263756,negative
752438,negative
3138668,neutral
750085,positive
3045668,positive
3212969,positive
2762132,positive
4497322,positive
3492455,positive
2605109,positive
4935220,positive
867828,positive
383185,positive
5116787,positive
3823788,positive
2188870,negative
609681,positive
5279695,positive
5348435,positive
3394856,positive
695504,negative
4173446,neutral
3505829,positive
4375786,positive
1566004,positive
4721250,positive
1490445,positive
340047,positive
6069394,positive
215877,positive
1702565,neutral
4172271,positive
3941122,negative
5709481,negative
3194615,positive
2790705,neutral
4641768,positive
3719981,negative
3591164,neutral
6478477,negative
3272433,positive
3133809,positive
5318141,positive
468738,negative
6503958,negative
1851297,negative
6114996,negative
6425989,negative
5755928,negative
6456362,positive
6193794,negative
2273598,positive
5464569,negative
5923111,positive
3374824,positive
3548152,positive
2599014,positive
2249581,negative
6022924,negative
5331784,positive
2822009,positive
3511943,positive
3310157,positive
3801394,positive
1175596,positive
4956827,positive
2475664,positive
3283704,positive
6326746,negative
882899,positive
295503,positive
2384841,negative
1213159,negative
2900548,neutral
3238118,positive
2416144,neutral
6372915,positive
3605113,neutral
4665253,positive
3267182,neutral
2958319,negative
4029358,negative
665854,negative
6338822,negative
6180249,negative
6111886,positive
5548775,positive
5731381,positive
5426899,positive
877971,positive
1043277,positive
3754687,positive
1591614,positive
4759006,negative
1609368,positive
5474520,positive
1198236,positive
3044352,positive
511163,positive
3000628,positive
2694175,negative
2921268,positive
4621598,positive
114254,positive
3334290,positive
6617893,positive
3008145,positive
5660909,positive
6179319,neutral
5680937,negative
2735729,negative
4858803,negative
1994361,positive
2650152,positive
2718679,negative
1076399,positive
1178232,positive
